state_code,grid3_lga_name,businessfinder_lga_name
AB,Obi Nwga,Obingwa
AB,Osisioma Ngwa,Osisioma
AK,Esit Eket,Esit Eket (Uquo)
BY,Yenegoa,Yenagoa
BE,Oturkpo,Otukpo
BO,Maiduguri,Maiduguri M. C.
CR,Calabar Municipal,Calabar Municipality
ED,Iguegben,Igueben
ED,Uhunmwonde,Uhunmwode
FC,Municipal Area Council,Abuja Municipal Area Council
GO,Shomgom,Shongom
GO,Yamaltu/Deba,Yalmaltu/Deba
IM,Ezinihitte,Ezinihitte Mbaise
IM,Mbatoli,Mbaitoli
JI,Biriniwa,Birniwa
JI,Kiri Kasama,Kirika Samma
KN,Dambatta,Danbata
KN,Dawakin Kudu,Dawaki Kudu
KN,Dawakin Tofa,Dawaki Tofa
KN,Nassarawa,Nasarawa
KT,Malumfashi,Malufashi
KE,Aleiro,Aliero
KE,Arewa Dandi,Arewa
KE,Bagudu,Bagudo
KO,Kogi,Kogi . K. K.
KO,Mopa-Muro,Mopa Moro
KO,Ogori/Magongo,Ogori Mangogo
KW,Pategi,Patigi
LA,Shomolu,Somolu
NA,Nasarawa Egon,Nasarawa Eggon
NI,Edati,Edatti
OG,Shagamu,Sagamu
OG,Yewa North,Egbado North
OG,Yewa South,Egbado South
OS,Atakunmosa East,Atakumosa East
OS,Atakunmosa West,Atakumosa West
OS,Ayedade,Ayedaade
OS,Ilesha East,Ilesa East
OS,Ilesha West,Ilesa West
OY,Ogbomosho North,Ogbomoso North
OY,Ogbomosho South,Ogbomoso South
OY,Orelope,Oorelope
PL,Barkin Ladi,Barikin Ladi
RI,Emuoha,Emohua
RI,Omumma,Omuma
SO,Sabon Birni,S/Birni
YO,Karasuwa,Karasawa
ZA,Birnin Magaji-Kiyaw,Birnin Magaji
